ZIP DISEASE_ID COUNT
93551 CAN 66
95405 CAN 39
95901 OTH 65
92336 HTD 65
91321 CAN 58
95762 CAN 41
94531 OTH 42
94044 HTD 55
95210 DIA 21
90066 INJ 20
94102 CAN 59
94595 HTD 130
90731 STK 26
90505 CLD 20
90272 CAN 43
93292 OTH 56
91352 HTD 97
95624 ALZ 23
95608 CLD 40
90262 CAN 53
90302 CAN 38
91910 DIA 20
90715 CAN 22
95818 OTH 33
92629 CAN 47
94563 HTD 37
95124 STK 28
94541 CLD 34
91762 OTH 51
93436 OTH 85
93444 HTD 31
95901 OTH 67
95949 HTD 33
94301 CAN 28
90710 CAN 46
90232 HTD 25
90048 OTH 39
92844 CAN 25
94590 OTH 79
94519 CAN 38
95401 CAN 70
93561 HTD 75
93444 CAN 28
93727 HTD 112
92115 HTD 127
91750 CAN 67
94960 HTD 21
94605 CAN 91
91775 CAN 36
90602 CAN 28
91604 OTH 36
92253 OTH 34
90810 CAN 37
90814 CAN 26
94541 CLD 23
91754 OTH 36
93610 HTD 37
92078 STK 23
92284 CAN 67
92201 HTD 104
93304 HTD 129
95407 CAN 32
92843 CAN 44
90620 OTH 45
90650 PNF 29
90277 HTD 65
95401 OTH 32
92660 CAN 63
91601 CAN 39
95336 CAN 75
92128 CAN 102
93003 OTH 100
90220 HTD 118
92672 HTD 67
93727 STK 25
92019 HTD 68
92262 CAN 75
94553 CAN 68
90723 HTD 53
94303 CAN 68
94552 CAN 24
96080 OTH 57
94117 CAN 48
90805 CAN 116
92260 CLD 34
91350 OTH 25
92708 OTH 67
91910 OTH 105
92335 CLD 34
90266 OTH 25
94109 PNF 24
94595 STK 32
91789 CAN 47
95376 CAN 72
93543 HTD 22
95648 STK 22
92335 CAN 109
91360 HTD 100
90277 HTD 57
95382 HTD 87
93108 HTD 38
91601 OTH 34
90006 HTD 74
94401 STK 27
94541 STK 48
92019 OTH 63
95020 OTH 62
94112 HTD 179
90740 CAN 118
90402 HTD 28
92881 HTD 31
95603 HTD 60
90255 CAN 50
92555 HTD 39
99998 LIV 26
93013 HTD 38
92284 OTH 66
90245 HTD 37
92123 ALZ 25
90250 PNF 22
92307 CLD 34
92404 HTD 107
94134 OTH 50
94580 CAN 60
95401 HTD 61
91335 CAN 103
95128 OTH 46
93004 HTD 52
92260 OTH 70
94402 CAN 45
95133 CAN 26
92405 CAN 48
94952 OTH 37
92124 CAN 27
91107 CAN 61
95023 STK 22
95831 HTD 78
94941 OTH 44
93401 CAN 65
92886 HTD 76
93534 HTD 81
92612 CAN 33
93308 OTH 77
94121 OTH 48
90024 OTH 28
95209 HTD 79
95350 CAN 117
95118 HTD 55
93550 CAN 79
91601 OTH 26
94803 HTD 53
90266 OTH 21
91792 OTH 23
94587 CLD 23
94607 STK 22
94596 CAN 31
92707 OTH 31
95060 CAN 64
95828 CAN 89
91706 OTH 61
95320 OTH 20
92612 HTD 52
90044 HOM 41
95838 HTD 59
93257 OTH 96
91780 CAN 61
93111 CAN 30
95125 OTH 71
95126 HTD 32
94030 HTD 57
90715 CAN 33
95327 HTD 25
90810 OTH 25
95240 PNF 25
92345 STK 36
95864 HTD 74
95111 OTH 33
90023 CAN 42
95945 OTH 83
92029 CAN 34
95376 OTH 57
90028 HTD 73
92660 OTH 36
92008 HTD 53
93704 OTH 58
91201 HTD 39
95111 CAN 52
